-1,-30,1.1,[2.32895690e-31 5.20207553e-31 5.48582955e-31 ... 1.56263636e-31
 1.56260842e-31 1.56311443e-31]
-1.375,-20.0,1.05,[2.60259965e-22 5.81329776e-22 6.13039170e-22 ... 1.74623963e-22
 1.74620841e-22 1.74677387e-22]
-1,-30,1.1,[1.62816637e-31 6.79851430e-31 1.87985428e-31 ... 2.17811885e-31
 1.57658759e-31 1.57658696e-31]
-1.375,-20.0,1.05,[1.81946915e-22 7.59731145e-22 2.10072934e-22 ... 2.43403876e-22
 1.76183007e-22 1.76182937e-22]
-1,-30,1.1,[1.74552627e-31 1.96022288e-31 1.18374355e-30 ... 1.74455347e-31
 1.77244320e-31 2.02334008e-31]
-1.375,-20.0,1.05,[1.95061835e-22 2.19054091e-22 1.32282849e-21 ... 1.94953124e-22
 1.98069790e-22 2.26107412e-22]
-1,-30,1.1,[0.]
-1.375,-20.0,1.05,[0.]
-1,-30,1.1,[0.]
-1.375,-20.0,1.05,[0.]
-1.7402149481939393,-20.0,1.05,[0.]
-1.0097850518060607,-20.0,1.05,[0.]
-1.6993987625083693,-20.0,1.05,[0.]
-1.0506012374916307,-20.0,1.05,[0.]
-1.629778588112134,-20.0,1.05,[0.]
-1.120221411887866,-20.0,1.05,[0.]
-1,-30,1.1,[0.]
-1.375,-20.0,1.05,[0.]
-1.7402149481939393,-20.0,1.05,[0.]
-1,-30,1.1,[0.]
-1.375,-20.0,1.05,[0.]
-1.7402149481939393,-20.0,1.05,[0.]
-1.0097850518060607,-20.0,1.05,[0.]
-1.6993987625083693,-20.0,1.05,[0.]
-1.0506012374916307,-20.0,1.05,[0.]
-1.629778588112134,-20.0,1.05,[0.]
-1.120221411887866,-20.0,1.05,[0.]
-1.5375232727984678,-20.0,1.05,[0.]
-1.2124767272015322,-20.0,1.05,[0.]
-1.4308278771181118,-20.0,1.05,[0.]
-1.3191721228818882,-20.0,1.05,[0.]
-1.748371436134678,-20.0,1.05,[0.]
-1,-30,1.1,[ 0.]
-1.375,-20.0,1.05,[ 0.]
-1.74021494819,-20.0,1.05,[ 0.]
-1.00978505181,-20.0,1.05,[ 0.]
-1.69939876251,-20.0,1.05,[ 0.]
-1.05060123749,-20.0,1.05,[ 0.]
-1.62977858811,-20.0,1.05,[ 0.]
-1.12022141189,-20.0,1.05,[ 0.]
-1.5375232728,-20.0,1.05,[ 0.]
-1.2124767272,-20.0,1.05,[ 0.]
-1.43082787712,-20.0,1.05,[ 0.]
-1.31917212288,-20.0,1.05,[ 0.]
-1.74837143613,-20.0,1.05,[ 0.]
-1.00162856387,-20.0,1.05,[ 0.]
-1.72380905926,-20.0,1.05,[ 0.]
-1.02619094074,-20.0,1.05,[ 0.]
-1.66780664747,-20.0,1.05,[ 0.]
-1.08219335253,-20.0,1.05,[ 0.]
-1.5860339255,-20.0,1.05,[ 0.]
-1.1639660745,-20.0,1.05,[ 0.]
-1.48539732351,-20.0,1.05,[ 0.]
-1.26460267649,-20.0,1.05,[ 0.]
-1.375,-24.8695326426,1.05,[ 0.]
-1.74021494819,-24.8695326426,1.05,[ 0.]
-1.00978505181,-24.8695326426,1.05,[ 0.]
-1.69939876251,-24.8695326426,1.05,[ 0.]
-1.05060123749,-24.8695326426,1.05,[ 0.]
-1.62977858811,-24.8695326426,1.05,[ 0.]
-1.12022141189,-24.8695326426,1.05,[ 0.]
-1.5375232728,-24.8695326426,1.05,[ 0.]
-1.2124767272,-24.8695326426,1.05,[ 0.]
-1.43082787712,-24.8695326426,1.05,[ 0.]
-1.31917212288,-24.8695326426,1.05,[ 0.]
-1.74837143613,-24.8695326426,1.05,[ 0.]
-1.00162856387,-24.8695326426,1.05,[ 0.]
-1.72380905926,-24.8695326426,1.05,[ 0.]
-1.02619094074,-24.8695326426,1.05,[ 0.]
-1.66780664747,-24.8695326426,1.05,[ 0.]
-1.08219335253,-24.8695326426,1.05,[ 0.]
-1.5860339255,-24.8695326426,1.05,[ 0.]
-1.1639660745,-24.8695326426,1.05,[ 0.]
-1.48539732351,-24.8695326426,1.05,[ 0.]
-1.26460267649,-24.8695326426,1.05,[ 0.]
-1.375,-15.1304673574,1.05,[ 0.]
-1.74021494819,-15.1304673574,1.05,[ 0.]
-1.00978505181,-15.1304673574,1.05,[ 0.]
-1.69939876251,-15.1304673574,1.05,[ 0.]
-1.05060123749,-15.1304673574,1.05,[ 0.]
-1.62977858811,-15.1304673574,1.05,[ 0.]
-1.12022141189,-15.1304673574,1.05,[ 0.]
-1.5375232728,-15.1304673574,1.05,[ 0.]
-1.2124767272,-15.1304673574,1.05,[ 0.]
-1.43082787712,-15.1304673574,1.05,[ 0.]
-1.31917212288,-15.1304673574,1.05,[ 0.]
-1.74837143613,-15.1304673574,1.05,[ 0.]
-1.00162856387,-15.1304673574,1.05,[ 0.]
-1.72380905926,-15.1304673574,1.05,[ 0.]
-1.02619094074,-15.1304673574,1.05,[ 0.]
-1.66780664747,-15.1304673574,1.05,[ 0.]
-1.08219335253,-15.1304673574,1.05,[ 0.]
-1.5860339255,-15.1304673574,1.05,[ 0.]
-1.1639660745,-15.1304673574,1.05,[ 0.]
-1.48539732351,-15.1304673574,1.05,[ 0.]
-1.26460267649,-15.1304673574,1.05,[ 0.]
-1.375,-24.3253168334,1.05,[ 0.]
-1.74021494819,-24.3253168334,1.05,[ 0.]
-1.00978505181,-24.3253168334,1.05,[ 0.]
-1.69939876251,-24.3253168334,1.05,[ 0.]
-1.05060123749,-24.3253168334,1.05,[ 0.]
-1.62977858811,-24.3253168334,1.05,[ 0.]
-1.12022141189,-24.3253168334,1.05,[ 0.]
-1.5375232728,-24.3253168334,1.05,[ 0.]
-1.2124767272,-24.3253168334,1.05,[ 0.]
-1.43082787712,-24.3253168334,1.05,[ 0.]
-1.31917212288,-24.3253168334,1.05,[ 0.]
-1.74837143613,-24.3253168334,1.05,[ 0.]
-1.00162856387,-24.3253168334,1.05,[ 0.]
-1.72380905926,-24.3253168334,1.05,[ 0.]
-1.02619094074,-24.3253168334,1.05,[ 0.]
-1.66780664747,-24.3253168334,1.05,[ 0.]
-1.08219335253,-24.3253168334,1.05,[ 0.]
-1.5860339255,-24.3253168334,1.05,[ 0.]
-1.1639660745,-24.3253168334,1.05,[ 0.]
-1.48539732351,-24.3253168334,1.05,[ 0.]
-1.26460267649,-24.3253168334,1.05,[ 0.]
-1.375,-15.6746831666,1.05,[ 0.]
-1.74021494819,-15.6746831666,1.05,[ 0.]
-1.00978505181,-15.6746831666,1.05,[ 0.]
-1.69939876251,-15.6746831666,1.05,[ 0.]
-1.05060123749,-15.6746831666,1.05,[ 0.]
-1.62977858811,-15.6746831666,1.05,[ 0.]
-1.12022141189,-15.6746831666,1.05,[ 0.]
-1.5375232728,-15.6746831666,1.05,[ 0.]
-1.2124767272,-15.6746831666,1.05,[ 0.]
-1.43082787712,-15.6746831666,1.05,[ 0.]
-1.31917212288,-15.6746831666,1.05,[ 0.]
-1.74837143613,-15.6746831666,1.05,[ 0.]
-1.00162856387,-15.6746831666,1.05,[ 0.]
-1.72380905926,-15.6746831666,1.05,[ 0.]
-1.02619094074,-15.6746831666,1.05,[ 0.]
-1.66780664747,-15.6746831666,1.05,[ 0.]
-1.08219335253,-15.6746831666,1.05,[ 0.]
